map_size,p_frozen,gamma,n_iters,theta,n_i,mean_reward,stdev_reward
12,0.6,0.1,1000,1e-10,10,0.0,0.0
12,0.6,0.1,1000,0.001,4,0.0,0.0
12,0.6,0.2,1000,1e-10,13,0.0,0.0
12,0.6,0.2,1000,0.001,4,0.0,0.0
12,0.6,0.3,1000,1e-10,18,0.0,0.0
12,0.6,0.3,1000,0.001,5,0.0,0.0
12,0.6,0.4,1000,1e-10,20,0.0,0.0
12,0.6,0.4,1000,0.001,6,0.0,0.0
12,0.6,0.5,1000,1e-10,26,0.0,0.0
12,0.6,0.5,1000,0.001,7,0.0,0.0
12,0.6,0.6,1000,1e-10,32,0.0,0.0
12,0.6,0.6,1000,0.001,8,0.0,0.0
12,0.6,0.7,1000,1e-10,40,0.0,0.0
12,0.6,0.7,1000,0.001,10,0.0,0.0
12,0.6,0.8,1000,1e-10,55,0.0,0.0
12,0.6,0.8,1000,0.001,15,0.0,0.0
12,0.6,0.9,1000,1e-10,119,0.0,0.0
12,0.6,0.9,1000,0.001,25,0.0,0.0
12,0.6,1.0,1000,1e-10,999,0.01,0.09949874371066199
12,0.6,1.0,1000,0.001,48,0.0,0.0
12,0.7,0.1,1000,1e-10,10,0.0,0.0
12,0.7,0.1,1000,0.001,4,0.0,0.0
12,0.7,0.2,1000,1e-10,13,0.0,0.0
12,0.7,0.2,1000,0.001,4,0.0,0.0
12,0.7,0.3,1000,1e-10,17,0.0,0.0
12,0.7,0.3,1000,0.001,5,0.0,0.0
12,0.7,0.4,1000,1e-10,22,0.0,0.0
12,0.7,0.4,1000,0.001,6,0.0,0.0
12,0.7,0.5,1000,1e-10,29,0.0,0.0
12,0.7,0.5,1000,0.001,6,0.0,0.0
12,0.7,0.6,1000,1e-10,38,0.02,0.13999999999999999
12,0.7,0.6,1000,0.001,8,0.0,0.0
12,0.7,0.7,1000,1e-10,51,0.0,0.0
12,0.7,0.7,1000,0.001,11,0.0,0.0
12,0.7,0.8,1000,1e-10,81,0.01,0.09949874371066199
12,0.7,0.8,1000,0.001,11,0.0,0.0
12,0.7,0.9,1000,1e-10,141,0.02,0.13999999999999999
12,0.7,0.9,1000,0.001,15,0.0,0.0
12,0.7,1.0,1000,1e-10,999,0.0,0.0
12,0.7,1.0,1000,0.001,98,0.0,0.0
12,0.8,0.1,1000,1e-10,10,0.0,0.0
12,0.8,0.1,1000,0.001,3,0.0,0.0
12,0.8,0.2,1000,1e-10,14,0.0,0.0
12,0.8,0.2,1000,0.001,4,0.0,0.0
12,0.8,0.3,1000,1e-10,17,0.0,0.0
12,0.8,0.3,1000,0.001,5,0.0,0.0
12,0.8,0.4,1000,1e-10,22,0.02,0.13999999999999999
12,0.8,0.4,1000,0.001,6,0.0,0.0
12,0.8,0.5,1000,1e-10,29,0.15,0.3570714214271425
12,0.8,0.5,1000,0.001,8,0.0,0.0
12,0.8,0.6,1000,1e-10,38,0.0,0.0
12,0.8,0.6,1000,0.001,9,0.0,0.0
12,0.8,0.7,1000,1e-10,53,0.19,0.3923009049186606
12,0.8,0.7,1000,0.001,11,0.0,0.0
12,0.8,0.8,1000,1e-10,75,0.05,0.21794494717703367
12,0.8,0.8,1000,0.001,12,0.0,0.0
12,0.8,0.9,1000,1e-10,158,0.32,0.46647615158762396
12,0.8,0.9,1000,0.001,31,0.19,0.39230090491866065
12,0.8,1.0,1000,1e-10,999,0.04,0.19595917942265423
12,0.8,1.0,1000,0.001,50,0.01,0.09949874371066199
12,0.9,0.1,1000,1e-10,10,0.0,0.0
